'titre';'detail';'sujet_id'
'Quelle est la capitale du Qatar ?';'Amman est la capitale de la Jordanie  Abu Dhabi et Dubaï sont des capitales d’émirats des Émirats arabes unis.';'1'
'Lequel de ces États ne fait pas partie de l’Union européenne ?';'La procédure d’adhésion de la Norvège à l’Union européenne est une des trois procédures (avec celles de la Suisse et de l’Islande) qui n’ont pas abouti. Par deux fois, en 1972 et 1994 et par voie référendaire, le peuple norvégien a refusé l’adhésion du pays à l’Union européenne.';'1'
'En France, quelle institution certifie les comptes de l’État ?';'';'1'
'En France, un projet de loi est une initiative législative :';'';'1'
'En France, la loi du 1er juillet 1901 est relative :';'';'1'
'En France, le déficit public prévisionnel de l’État représente en 2015 environ :';'';'1'
'En France, par qui est perçu l’impôt sur le revenu ?';'';'1'
'En France, quel événement historique célèbre-t-on le 11 novembre ?';'La fin des combats de la Première Guerre mondiale (1914-1918) est marquée par la signature de l’armistice, le 11 novembre 1918.';'1'
'Quel président américain a démissionné après le scandale du Watergate en 1974 ?';'. Le scandale du Watergate est une affaire d’espionnage politique qui aboutit, en 1974, à la démission du président des États-Unis Richard Nixon. Pendant la campagne pour les élections présidentielles de 1972, cinq hommes sont arrêtés en train d’« inspecter » dans les locaux du parti démocrate, l’immeuble Watergate à Washington. Deux journalistes du Washington Post ont démontré, avec l’aide d’un mystérieux informateur connu sous le nom de Deep Throat (« Gorge profonde »), qu’il existait des liens entre ces cambrioleurs et la présidence des ÉtatsUnis. Leurs enquêtes conduiront à l’inculpation de cinq collaborateurs de Richard Nixon, puis à la création, en février 1973, d’une commission d’enquête sénatoriale. Accusé d’avoir entravé l’action de la justice, Nixon sera contraint de démissionner (août 1974).';'1'
'La convention internationale, dénommée « protocole de Kyoto », est un accord :';'Le protocole de Kyoto est un accord international signé le 11 décembre 1997 à Kyoto, au Japon et entré en vigueur le 16 février 2005. Il visait à réduire, entre 2008 et 2012, d’au moins 5 % par rapport au niveau de 1990 les émissions de six gaz à effet de serre : dioxyde de carbone, méthane, protoxyde d’azote et trois substituts des chlorofluorocarbones.';'1'
'Laquelle des inventions suivantes doit-on à Alfred Nobel ?';'';'1'
'En quelle année a eu lieu le premier tour de France cycliste ?';Le 1er juillet 1903, 60 coureurs prennent le départ du premier tour de France de cyclisme  seuls 20 d’entre eux franchiront la ligne d’arrivée, le 18 juillet, et le cycliste Maurice Garin fut le vainqueur avec trois heures d’avance sur ses concurrents.';'1'
'Qui a peint le tableau intitulé Guernica ?';'Le 1er mai 1937, des bombardiers nazis appelés par Franco ont détruit la ville de Guernica, faisant 1 600 morts. Picasso peignit cette toile quelques mois plus tard.';'1'
'Qui est le réalisateur du film Avatar (2009) ?';'';'1'
'Parmi ces quatre pièces de théâtre, laquelle n’a pas été écrite par Molière ?';'Le Jeu de l’amour et du hasard est une comédie en trois actes de Marivaux, représentée pour la première fois le 23 janvier 1730.';'2'
'Quelle est la capitale du Brésil ?';'';'2'
'De ces quatre villes, laquelle est la plus orientale ?';'La partie orientale d’un espace est la partie la plus à l’est de ce territoire';'2'
'Quelle autre ville française après Paris est dotée d’un Centre Pompidou ?';'Le Centre Pompidou-Metz est une décentralisation d’un établissement public culturel national, le Centre Pompidou, qui se situe à Paris. Le Centre Pompidou-Metz a été inauguré en 2010 et reçoit environ 350 000 visiteurs chaque année, ce qui en fait le musée français hors de Paris le plus visité.';'2'
'Comment sont actuellement désignés les conseillers communautaires auprès des établissements publics de coopération intercommunale (EPCI) ?';'Les conseillers communautaires sont élus pour la même durée, selon le même mode de scrutin que les conseillers municipaux et par un même vote';'2'
'Le Chemin des Dames est une bataille de :';'La bataille du Chemin des Dames se déroule dans l’Aisne pendant la Première Guerre mondiale le 16 avril 1917. Elle a été une tentative de rupture du front allemand entre Soissons et Reims vers Laon, sous les ordres du général Nivelle, qui a lancé son fameux : « L’heure est venue, confiance, courage et vive la France ! »';'2'
'La loi de séparation des Églises et de l’État a été adoptée en France en :';'';'2'
'En France, la taxe foncière constitue un impôt perçu au profit :';'En France, on appelle communément « taxe foncière » l’ensemble des sommes figurant sur l’avis d’imposition correspondant. Cet avis peut, en réalité, comporter trois impôts différents : la taxe foncière sur les propriétés bâties (TFPB), la taxe foncière sur les propriétés non bâties (TFPNB) et la taxe d’enlèvement des ordures ménagères (TEOM). Ces taxes contribuent à la formation des ressources fiscales des communes, départements, régions et des groupements de communes dits « établissement public de coopération intercommunale » (EPCI), tels que les métropoles, communautés urbaines, communautés d’agglomération et communautés de communes';'2'
'Quel est le point commun entre ces quatre personnalités  ? Geneviève De Gaulle Anthonioz – Marie Curie – Germaine Tillion – Sophie Berthelot';'';'2'
'Quelle est, en euros, la principale production agricole française ?';'';'2'
'Que signifie l’abréviation « Cedex » ?';'';'2'
'Dans la série américaine « 24 heures chrono », quel est le nom du personnage principal ?';'';'2'
'Qui a réalisé le film 2001 : l’Odyssée de l’espace ?';'';'2'
'De quelle nationalité sont les membres du groupe Daft Punk ?';'Daft Punk est un groupe français de musique électronique, originaire de Paris.';'2'
'Le scandale surnommé « l’affaire du collier », qui impacta la France, ternit la réputation de la reine :';'L’affaire du collier de la reine est un scandale qui éclata en France en 1785 et qui éclaboussa la reine Marie-Antoinette. Il s’agit d’une escroquerie montée par la comtesse de La Motte, qui fit croire au cardinal de Rohan, évêque de Strasbourg, tombé en disgrâce, qu’il consoliderait sa rentrée en grâce en servant d’intermédiaire pour l’achat d’un collier de diamants de 1 600 000 livres, prétendument désiré par la reine. Le cardinal acheta à crédit le collier aux joailliers de la cour, sur la garantie d’une signature contrefaite de Marie-Antoinette, puis le remet à un pseudo-officier de la reine, complice de Mme de La Motte. Devant l’incapacité du cardinal à payer la première traite, les joailliers s’adressèrent directement à la reine, et l’escroquerie fut découverte. Louis XVI fit embastiller le cardinal (15 août 1785) et porta l’affaire devant le Parlement de Paris. D’emblée, l’opinion se tourna contre la reine, contre le luxe et le gaspillage de la cour. Les aristocrates firent bloc derrière Rohan et feignirent de considérer qu’en jugeant l’un d’entre eux la royauté faisait leur procès à eux tous. Le jugement, rendu le 31 mai 1786, acquitta le cardinal. Calomniée, bien qu’étrangère à l’affaire, Marie-Antoinette, et avec elle la cour, virent redoubler leur impopularité.';'3'
'Quel endroit était la principale place publique administrative, religieuse et commerciale des villes grecques antiques ?';'L’agora désigne, en effet, le lieu de rassemblement politique et mercantile de la cité.Le terme « acropole » désigne de manière générale une citadelle construite sur la partie la plus élevée et la mieux défendue d’une cité de la Grèce antique, servant de refuge ultime aux populations lors des attaques. La boulê est une assemblée restreinte de citoyens chargés des lois de la cité. Quant au forum, il se rapporte aux cités antiques romaines et non grecques.';'3'
'Quel est l’intrus parmi les propositions suivantes ?';'Joel et Ethan Coen, Jean-Pierre et Luc Dardenne, et Peter et Bobby Farrelly sont tous des frères et réalisateurs de cinéma. Auguste et Jean Renoir sont respectivement père et fils. Auguste était peintre et Jean, réalisateur.';'3'
'Comment s’appelait l’atelier d’artistes ouvert par Andy Warhol à New York en 1964 ?';'En janvier 1964, Warhol ouvre la Factory dans un loft sur la 47e Rue. C’est une sorte d’atelier artistique qui sert en même temps de studio d’enregistrement pour ses œuvres cinématographiques et de lieu de rencontre pour son entourage.';'3'
'Parmi ces sites, inscrits au patrimoine mondial de l’Unesco, lequel abrite un mausolée ?';'Le Taj Mahal fut élevé de 1631 à 1641 près d’Agra en Inde par l’empereur Chah Djahan pour célébrer la mémoire de son épouse.';'3'
'Avec quel artiste la sculptrice Camille Claudel entretint-elle une relation ?';'';'3'
'Lequel de ces pays n’a pas de façade maritime avec la mer Noire ?';'';'3'
'Quelle institution vérifie la validité des candidatures présidentielles ?';'';'3'
'Parmi ces compositeurs, lequel n’est pas contemporain des trois autres ?';'Francis Poulenc (1899-1963) n’a pas pu rencontrer Jean-Baptiste Lully (1632-1687), François Couperin (1668-1733) ou Jean-Philippe Rameau (1683-1764).';'3'
'Quelle était à l’origine la fonction de Facebook ?';'';'3'
'Laquelle de ces disciplines n’est pas au programme des jeux Olympiques de 2016 ?';'Les jeux Olympiques d’été de 2016 ont depuis eu lieu à Rio de Janeiro, au Brésil.';'3'
'Combien de temps faut-il à la Terre pour faire le tour du Soleil ?';'';'3'
'Le plafond de l’Opéra Garnier à Paris, inauguré le 23 septembre 1964, fut peint par :';'';'3'
'Le siège officiel du Parlement européen se situe à :';'';'3'
'Parmi ces pays, lequel n’est pas membre du groupement informel d’économies avancées dénommé « G7 » ?';'Le G8 (pour « Groupe des huit »), actuellement connu sous le nom de « G7 » (« Groupe des sept »), est un groupe de discussion et de partenariat économique de huit pays parmi les plus grandes puissances économiques du monde (Allemagne, Canada, États-Unis, France, Italie, Japon, Royaume-Uni et Russie), dont l’un (la Russie) est suspendu.';'3'
'Lequel de ces termes n’appartient pas au monde du théâtre ?';'Au théâtre, le quatrième mur désigne un « mur » imaginaire situé sur le devant de la scène, séparant la scène des spectateurs et « au travers » duquel ceux-ci voient les acteurs jouer. Dans le vocabulaire théâtral, le côté cour est le côté droit de la scène, vu de la salle, par opposition au côté jardin, qui est le côté gauche. L’œil du prince est l’angle de vue permettant de visualiser la perspective du décor sans déformation. ';'3'
'Mars est également appelée la « planète rouge » en raison :';'';'3'
'Eleanor Roosevelt présida le comité de rédaction de/du :';'Eleanor Roosevelt fut l’épouse du président américain Franklin Delano Roosevelt. Féministe et activiste, elle joue un rôle déterminant dans la création de l’Onu, puis préside la commission chargée de rédiger la Déclaration universelle des droits de l’homme, qu’elle contribue à faire adopter par l’Assemblée générale des Nations unies, le 10 décembre 1948.';'3'
'Figure emblématique de la philosophie des Lumières, François-Marie Arouet est également appelé :';'';'3'
'L’essai politico-philosophique intitulé Manifeste du Parti communiste a été coécrit par :';'Le Manifeste du Parti communiste a été coécrit par Karl Marx et Friedrich Engels entre 1847 et 1848. Ce texte expose la lutte des classes entre bourgeois et prolétaires, le marché mondial qui est en train de se créer et l’importance pour les prolétaires du monde entier de s’unir pour mettre fin au règne du capital.';'3'
